Binary,Event Type,Event
/usr/sbin/systemstats,notify_register_dispatch,com.apple.systemstats.sample-listening
/usr/sbin/WirelessRadioManagerd,notify_post,com.apple.bluetooth.status
/usr/sbin/WirelessRadioManagerd,notify_register_dispatch,com.apple.WirelessRadioManager.PrefChangeNotification
/usr/sbin/WirelessRadioManagerd,notify_register_dispatch,com.apple.networkd.started
/usr/lib/libcoreroutine.dylib,,??
/usr/lib/libsystemstats.dylib,notify_register_dispatch,com.apple.systemstats.sample-processes-done
/usr/lib/libsystemstats.dylib,notify_register_dispatch,com.apple.telemetry.immediate-done
/usr/lib/libsystemstats.dylib,notify_post,com.apple.telemetry.immediate
/usr/lib/libsystemstats.dylib,notify_post,com.apple.systemstats.sample-immediate
/usr/lib/libsystemstats.dylib,notify_post,com.apple.systemstats.sample-listening
/usr/lib/libcups.2.dylib,notify_post,com.apple.printerPrefsChange
/usr/lib/libcups.2.dylib,notify_post,com.apple.printerListChange
/usr/lib/libAccessibility.dylib,notify_post,com.apple.coreaudio.aqmeBalance
/usr/lib/libauditd.0.dylib,notify_post,com.apple.audit.change
/System/Library/CoreServices/mapspushd,notify_post,com.apple.springboard.appIconVisibilityPreferencesChanged
/System/Library/CoreServices/mapspushd,notify_post,com.apple.Maps.model.historyDidChange
/System/Library/CoreServices/mapspushd,notify_post,com.apple.Maps.model.favoritesDidChange
/System/Library/CoreServices/launchservicesd,notify_post,com.apple.coreservices.launchservices.startup
/System/Library/CoreServices/launchservicesd,notify_post,com.apple.coreservices.launchservices.session.root
/System/Library/CoreServices/talagent,notify_post,com.apple.talagent.startupTesting
/System/Library/CoreServices/talagent,notify_post,__NSFakeMemoryPressureNotification
/System/Library/CoreServices/talagent,notify_post,com.apple.TALRelaunchInProgress
/System/Library/CoreServices/talagent,notify_register_check,com.apple.TALRelaunchInProgress
/System/Library/CoreServices/logind,,??
/System/Library/CoreServices/SubmitDiagInfo,notify_post,com.apple.crashreporter.new_whitelist
/System/Library/CoreServices/SubmitDiagInfo,notify_post,com.apple.da.tasking_changed
/System/Library/CoreServices/TouchBarEvent.bundle,,??
/System/Library/CoreServices/navd,notify_post,com.apple.navd.wakeUpForHypothesisUpdate
/System/Library/CoreServices/navd,notify_post,com.apple.navd.restarted
/System/Library/CoreServices/pbs,notify_post,user.uid.%ld.com.apple.nsservices.seed
/System/Library/CoreServices/pbs,notify_register_check,user.uid.%ld.com.apple.nsservices.seed
/System/Library/TextInput/kbd,notify_post,TIKeyboardInputManagerDynamicDictionariesRemovedNotification
/usr/lib/system/libsystem_c.dylib,notify_post,com.apple.system.clock_set
/usr/lib/system/libsystem_c.dylib,notify_post,com.apple.system.utmpx
/usr/lib/system/libsystem_c.dylib,notify_register_check,com.apple.system.timezone
/usr/lib/system/libsystem_asl.dylib,notify_post,__asl_msg_slot_val
/usr/lib/system/libsystem_asl.dylib,notify_register_check,com.apple.asl.remote
/Applications/Maps.app/Contents/MacOS/Maps,notify_post,com.apple.geoservices.siri_data_changed
